
sikuli	png	screen	type	name	comment
find("media_btn_settings.png") #media_btn_settings.png	media_btn_settings.png	media	btn	settings	
find("media_selected_hero4silver.png") #media_selected_hero4silver.png	media_selected_hero4silver.png	media	selected	hero4silver	
find("media_unselected_hero4silver.png") #media_unselected_hero4silver.png	media_unselected_hero4silver.png	media	unselected	hero4silver	
find("media_selected_hero4black.png") #media_selected_hero4black.png	media_selected_hero4black.png	media	selected	hero4black	
find("media_unselected_hero4black.png") #media_unselected_hero4black.png	media_unselected_hero4black.png	media	unselected	hero4black	
find("media_selected_hero4session.png") #media_selected_hero4session.png	media_selected_hero4session.png	media	selected	hero4session	
find("media_unselected_hero4session.png") #media_unselected_hero4session.png	media_unselected_hero4session.png	media	unselected	hero4session	
					
find("mediah4session_img_logo.png") #mediah4session_img_logo.png	mediah4session_img_logo.png	mediah4session	img	logo	
find("mediah4session_txt_title.png") #mediah4session_txt_title.png	mediah4session_txt_title.png	mediah4session	txt	title	
find("mediah4session_txt_subtitle.png") #mediah4session_txt_subtitle.png	mediah4session_txt_subtitle.png	mediah4session	txt	subtitle	
find("mediah4session_txt_capacity.png") #mediah4session_txt_capacity.png	mediah4session_txt_capacity.png	mediah4session	txt	capacity	
find("mediah4session_txt_available.png") #mediah4session_txt_available.png	mediah4session_txt_available.png	mediah4session	txt	available	
find("mediah4session_txt_used.png") #mediah4session_txt_used.png	mediah4session_txt_used.png	mediah4session	txt	used	
					
find("mediah4black_img_logo.png") #mediah4black_img_logo.png	mediah4black_img_logo.png	mediah4black	img	logo	
find("mediah4black_txt_title.png") #mediah4black_txt_title.png	mediah4black_txt_title.png	mediah4black	txt	title	
find("mediah4black_txt_subtitle.png") #mediah4black_txt_subtitle.png	mediah4black_txt_subtitle.png	mediah4black	txt	subtitle	
find("mediah4black_txt_capacity.png") #mediah4black_txt_capacity.png	mediah4black_txt_capacity.png	mediah4black	txt	capacity	
find("mediah4black_txt_available.png") #mediah4black_txt_available.png	mediah4black_txt_available.png	mediah4black	txt	available	
find("mediah4black_txt_used.png") #mediah4black_txt_used.png	mediah4black_txt_used.png	mediah4black	txt	used	
					
find("mediah4silver_img_logo.png") #mediah4silver_img_logo.png	mediah4silver_img_logo.png	mediah4silver	img	logo	
find("mediah4silver_txt_title.png") #mediah4silver_txt_title.png	mediah4silver_txt_title.png	mediah4silver	txt	title	
find("mediah4silver_txt_subtitle.png") #mediah4silver_txt_subtitle.png	mediah4silver_txt_subtitle.png	mediah4silver	txt	subtitle	
find("mediah4silver_txt_capacity.png") #mediah4silver_txt_capacity.png	mediah4silver_txt_capacity.png	mediah4silver	txt	capacity	
find("mediah4silver_txt_available.png") #mediah4silver_txt_available.png	mediah4silver_txt_available.png	mediah4silver	txt	available	
find("mediah4silver_txt_used.png") #mediah4silver_txt_used.png	mediah4silver_txt_used.png	mediah4silver	txt	used	
					
find("mediacam_btn_importfiles.png") #mediacam_btn_importfiles.png	mediacam_btn_importfiles.png	mediacam	btn	importfiles	
find("mediacam_txt_spaceused.png") #mediacam_txt_spaceused.png	mediacam_txt_spaceused.png	mediacam	txt	spaceused	
					
find("findmedia_txt_title.png") #findmedia_txt_title.png	findmedia_txt_title.png	findmedia	txt	title	
find("findmedia_txt_subtitle.png") #findmedia_txt_subtitle.png	findmedia_txt_subtitle.png	findmedia	txt	subtitle	
find("findmedia_btn_close.png") #findmedia_btn_close.png	findmedia_btn_close.png	findmedia	btn	close	
find("findmedia_btn_addfolder.png") #findmedia_btn_addfolder.png	findmedia_btn_addfolder.png	findmedia	btn	addfolder	
find("findmedia_btn_managefoldersettings.png") #findmedia_btn_managefoldersettings.png	findmedia_btn_managefoldersettings.png	findmedia	btn	managefoldersettings	
find("findmedia_btn_save.png") #findmedia_btn_save.png	findmedia_btn_save.png	findmedia	btn	save	
find("findmedia_btn_cancel.png") #findmedia_btn_cancel.png	findmedia_btn_cancel.png	findmedia	btn	cancel	
					
find("recentlyadd_txt_title.png") #recentlyadd_txt_title.png	recentlyadd_txt_title.png	recentlyadd	txt	title	
find("recentlyadd_btn_connectcam.png") #recentlyadd_btn_connectcam.png	recentlyadd_btn_connectcam.png	recentlyadd	btn	connectcam	
find("recentlyadd_btn_addmedia.png") #recentlyadd_btn_addmedia.png	recentlyadd_btn_addmedia.png	recentlyadd	btn	addmedia	
find("edits_img_edits.png") #edits_img_edits.png	edits_img_edits.png	edits	img	edits	
find("edits_txt_noedits.png") #edits_txt_noedits.png	edits_txt_noedits.png	edits	txt	noedits	
find("edits_txt_info.png") #edits_txt_info.png	edits_txt_info.png	edits	txt	info	
find("edits_btn_createedit.png") #edits_btn_createedit.png	edits_btn_createedit.png	edits	btn	createedit	
